512
512
276
236
4.224609

0      ---             ---   ---   ---  
314    PUaDhKA         314   YES   1    
315    kazUxZW         315   YES   1    
316    NHtmkkW         316   YES   1    
317    NyfTDmj         317   YES   1    
318    TtBzzLX         318   YES   1    
319    yaLaDDd         319   YES   1    
320    eXKxevi         320   YES   1    
321    cfHDPMN         320   NO    2    
322    GrBmiNg         322   YES   1    
323    zRkmJJT         323   YES   1    
324    BuCAfdq         319   NO    6    
325    rrcWwJA         325   YES   1    
326    wefeyEb         325   NO    2    
327    xXqmndG         316   NO    12   
328    PkVbpbL         325   NO    4    
329    nzNueGn         329   YES   1    
330    GVQfwhX         330   YES   1    
331    tWrdtbn         330   NO    2    
332    izUukZF         332   YES   1    
333    cALmajv         333   YES   1    
334    ECaLEkq         334   YES   1    
335    EUxCDFB         309   NO    27   
336    ---             ---   ---   ---  
337    ---             ---   ---   ---  
338    ---             ---   ---   ---  
339    ---             ---   ---   ---  
340    Ghxhecb         340   YES   1    
341    irjDXKc         341   YES   1    
342    wbGTkVf         342   YES   1    
343    nWpHVBW         342   NO    2    
344    bFkDdBM         343   NO    2    
345    uPMqGhk         345   YES   1    
346    uFtWtXX         346   YES   1    
347    SqyXbCT         347   YES   1    
348    pHNDdWz         344   NO    5    
349    AufeTfR         343   NO    7    
350    SLtWQQv         350   YES   1    
351    ikGTdhH         351   YES   1    
352    iDSGkeJ         347   NO    6    
353    PyQXMQf         346   NO    8    
354    GmHavWZ         354   YES   1    
355    puAXqen         355   YES   1    
356    PFtABJF         356   YES   1    
357    SkiYMSg         357   YES   1    
358    EWxxNZD         357   NO    2    
359    JPKvXhE         359   YES   1    
360    vMaZkZi         360   YES   1    
361    PpEqBSz         360   NO    2    
362    jywVCYx         362   YES   1    
363    RYgvagn         362   NO    2    
364    BDEVtyu         364   YES   1    
365    gVdDRBQ         364   NO    2    
366    FxmzNpv         363   NO    4    
367    rLaBwQJ         363   NO    5    
368    ewnxntD         368   YES   1    
369    VAFganD         369   YES   1    
370    mkSyqEh         369   NO    2    
371    qajpNHn         371   YES   1    
372    cphBvYV         372   YES   1    
373    BxBHRAf         371   NO    3    
374    RKENbiL         372   NO    3    
375    TvZNEhG         369   NO    7    
376    wnttrUQ         376   YES   1    
377    mLNrWqk         377   YES   1    
378    VAJWfCw         377   NO    2    
379    nFFkcxc         378   NO    2    
380    RZgTfht         376   NO    5    
381    gbZtqLY         377   NO    5    
382    CfhBLdx         382   YES   1    
383    pqrPQPy         380   NO    4    
384    UcmvpyP         374   NO    11   
385    FYHCZTt         384   NO    2    
386    uEDaTTL         386   YES   1    
387    EpmwVvu         387   YES   1    
388    ZiHfYRL         388   YES   1    
389    WZzdJXc         388   NO    2    
390    nvVzrzQ         389   NO    2    
391    PJBYtKX         388   NO    4    
392    KDgNDTg         392   YES   1    
393    RcvQUpi         393   YES   1    
394    BXkxMbr         394   YES   1    
395    vgyfwvR         394   NO    2    
396    RvzXEQf         396   YES   1    
397    TvZECrD         395   NO    3    
398    WCjqfnm         396   NO    3    
399    DrzCwTP         392   NO    8    
400    qBpymex         400   YES   1    
401    cyYtJdA         400   NO    2    
402    NmBMchA         402   YES   1    
403    mmYNuyP         379   NO    25   
404    wXXuiYZ         404   YES   1    
